Customer ID,Customer Name,Gender,Customer Age,Recency,Frequency,Monetary,AOV,Return_Rate_Pct,Recency_scaled,Frequency_log_scaled,Monetary_log_scaled,AOV_scaled,Return_Rate_Pct_scaled
1,Dominic Cline,Female,67,289.0,3,6290,2096.6666666666665,0.0,0.15649118495901435,-0.8721917360457984,-1.1597213098641213,-0.8733165682345686,-1.6378635338698064
2,Crystal Day,Female,42,73.0,6,16481,2746.8333333333335,66.66666666666666,-0.8144386241195708,0.5632864632409723,0.5716915953343855,0.027254909160761065,1.0507331535161275
3,Joseph Perez,Male,31,223.0,4,9423,2355.75,0.0,-0.14018181225944223,-0.2998031256302177,-0.4332162575986798,-0.5144500310361476,-1.6378635338698064
4,Wyatt Love,Male,37,442.0,5,7826,1565.2,60.0,0.8442331330563455,0.16787242191517784,-0.7670061260822114,-1.609471996872924,0.7818734847775344
5,Shannon Hoffman,Female,24,425.0,5,9769,1953.8,60.0,0.7678173610455309,0.16787242191517784,-0.3683983662202506,-1.0712068195607094,0.7818734847775344
6,Andrea Rodriguez,Female,34,141.0,9,25428,2825.3333333333335,55.55555555555556,-0.5087755360763125,1.478198296134015,1.3511948487852932,0.13598835336819506,0.6026337056184722
7,Scott Williams,Male,22,142.0,8,17825,2228.125,37.5,-0.5042804906639117,1.2079365798761548,0.7126086053129096,-0.6912284490867688,-0.12552789721521845
8,Kathleen Quinn,Male,66,26.0,7,16245,2320.714285714286,71.42857142857143,-1.0257057585024112,0.9058096857184332,0.5457654885181942,-0.5629793798839604,1.2427757740436947
9,Michael Wilcox,Female,39,141.0,7,24621,3517.285714285714,42.857142857142854,-0.5087755360763125,0.9058096857184332,1.2932205297290424,1.0944388706737596,0.09052005087829401
10,Thomas Carr,Female,49,131.0,8,20672,2584.0,25.0,-0.5537259902003211,1.2079365798761548,0.9789684807382436,-0.19829195918459588,-0.6296397761000811
11,Alexander White,Male,67,103.0,8,17730,2216.25,50.0,-0.6795872617475451,1.2079365798761548,0.7030027338980074,-0.7076769796595495,0.37858398166964424
12,Rebecca Perez,Male,31,114.0,7,16756,2393.714285714286,0.0,-0.6301417622111357,0.9058096857184332,0.6014378228668747,-0.4618642024681301,-1.6378635338698064
13,Krystal Anderson,Male,60,259.0,5,13798,2759.6,20.0,0.02163982258698862,0.16787242191517784,0.2522966256031668,0.04493852238005891,-0.8312845276540262
14,Alexis Hernandez,Male,42,264.0,5,14119,2823.8,20.0,0.044115049648992904,0.16787242191517784,0.2936357766581658,0.1338644729293238,-0.8312845276540262
15,James Fisher,Male,38,82.0,5,16533,3306.6,60.0,-0.7739832154079631,0.16787242191517784,0.5773542032117532,0.802609783290459,0.7818734847775344
16,Ernest Brooks,Male,67,105.0,3,7196,2398.6666666666665,33.33333333333333,-0.6705971709227434,-0.8721917360457984,-0.9178566978232557,-0.45500446440469505,-0.2935651901768395
17,John Brooks,Male,32,103.0,8,22968,2871.0,12.5,-0.6795872617475451,1.2079365798761548,1.1682924678091695,0.19924305339544945,-1.1337516549849438
18,Maurice French,Male,52,427.0,2,4859,2429.5,0.0,0.7768074518703326,-1.6101289998490542,-1.62366395390747,-0.4122959990578259,-1.6378635338698064
19,Janet Rivers,Male,37,518.0,5,12232,2446.4,60.0,1.1858565843988107,0.16787242191517784,0.03575261952252117,-0.3888871429163527,0.7818734847775344
20,Mike Parks DVM,Male,42,77.0,4,17443,4360.75,50.0,-0.7964584424699674,-0.2998031256302177,0.6736671545052394,2.262754499357549,0.37858398166964424
21,Jeffrey Williams,Male,20,266.0,5,10598,2119.6,20.0,0.05310514047379462,0.16787242191517784,-0.22199130358689936,-0.8415507042792757,-0.8312845276540262
22,Jennifer Rivera,Female,40,14.0,5,14137,2827.4,0.0,-1.0796463034512214,0.16787242191517784,0.29592595015755474,0.13885097482928244,-1.6378635338698064
23,Justin Smith,Female,33,135.0,7,18733,2676.1428571428573,28.57142857142857,-0.5357458085507176,0.9058096857184332,0.8019198663071861,-0.0706612557927941,-0.4856078107044062
24,Emily Dunn,Female,69,145.0,4,11413,2853.25,25.0,-0.4907953544267091,-0.2998031256302177,-0.08881892071105661,0.17465682874981947,-0.6296397761000811
25,Nathan Coleman,Female,18,354.0,3,9876,3292.0,66.66666666666666,0.44866913676507003,-0.8721917360457984,-0.3488176276848286,0.782386747807293,1.0507331535161275
26,Jason Thomas,Male,50,185.0,3,9845,3281.6666666666665,33.33333333333333,-0.3109935379306748,-0.8721917360457984,-0.3544686408444428,0.7680736405018557,-0.2935651901768395
27,Cory Buckley,Female,45,239.0,4,12554,3138.5,75.0,-0.06826108566102852,-0.2998031256302177,0.08245898314656906,0.5697678473507182,1.3868077394393696
28,Laura Walls,Male,56,309.0,4,16765,4191.25,25.0,0.24639209320703148,-0.2998031256302177,0.6024030663645875,2.0279733682344907,-0.6296397761000811
29,Karla Figueroa,Male,54,572.0,5,13240,2648.0,40.0,1.4285890366684568,0.16787242191517784,0.17809278004994014,-0.10964303651866243,-0.024705521438245906
30,Christina Little,Female,33,58.0,4,8047,2011.75,50.0,-0.8818643053055837,-0.2998031256302177,-0.7169515440095465,-0.99093799036554,0.37858398166964424
31,Christina Woods,Male,50,154.0,6,16430,2738.3333333333335,33.33333333333333,-0.4503399457151014,0.5632864632409723,0.5661205037778249,0.015481224119191776,-0.2935651901768395
32,Jeremy Wise,Female,39,810.5,5,11953,2390.6,60.0,2.5006573675260615,0.16787242191517784,-0.0057216460194957465,-0.4661779223657137,0.7818734847775344
33,Austin Shea,Male,41,487.0,7,24987,3569.5714285714284,42.857142857142854,1.046510176614384,0.9058096857184332,1.319745626666329,1.1668618744588748,0.09052005087829401
34,Heather King,Male,57,301.0,1,658,850.4999999999998,100.0,0.21043172990782463,-2.65019315781003,-2.515878954572985,-2.5994311379564032,2.395031497209095
35,Bobby Hubbard,Female,65,270.0,8,24174,3021.75,62.5,0.07108532212339805,1.2079365798761548,1.2602850654158062,0.40805282045622243,0.8826958605545069
36,Ronald Smith,Male,38,26.0,4,11107,2776.75,25.0,-1.0257057585024112,-0.2998031256302177,-0.13767048104759425,0.0686936633756959,-0.6296397761000811
37,James Thomas,Female,52,33.0,8,15557,1944.625,50.0,-0.9942404406156051,1.2079365798761548,0.46797765179125167,-1.083915473708521,0.37858398166964424
38,Troy Cunningham,Female,44,237.0,4,11437,2859.25,50.0,-0.07725117648583024,-0.2998031256302177,-0.08504298642162444,0.18296766524975075,0.37858398166964424
39,Taylor Townsend,Male,36,473.0,7,20951,2993.0,42.857142857142854,0.983579540840772,0.9058096857184332,1.0030671855797861,0.36823006222738514,0.09052005087829401
